# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1363
#@/user_id	myrimedata-windows
a 	啊	c=4 d=0.585669 t=1363
a ge 	阿哥	c=0 d=0.00309618 t=1363
a shi da fu 	啊士大夫	c=1 d=0.170333 t=1363
ai qi yi 	爱奇艺	c=8 d=0.0569192 t=1363
ai zi you 	爱自由	c=2 d=0.914525 t=1363
an 	按	c=2 d=1.23448 t=1363
an an di 	暗暗地	c=2 d=1.18607 t=1363
an fu 	安抚	c=1 d=0.88692 t=1363
an mo 	按摩	c=1 d=1.00441 t=1363
an niu 	按钮	c=2 d=0.315262 t=1363
an quan 	安全	c=2 d=1.51535 t=1363
an zhuang 	安装	c=8 d=2.43432 t=1363
ang 	昂	c=2 d=0.848444 t=1363
ba 	吧	c=11 d=2.00242 t=1363
ba 	把	c=9 d=3.85595 t=1363
ba ba 	爸爸	c=1 d=0.0387742 t=1363
ba ji 	八级	c=0 d=0.0305746 t=1363
ba ji 	吧唧	c=2 d=0.619185 t=1363
ban 	班	c=2 d=0.0611546 t=1363
ban ben 	版本	c=2 d=0.923716 t=1363
ban lan gen 	板蓝根	c=2 d=0.64124 t=1363
ban li 	办理	c=1 d=0.0413782 t=1363
ban li 	班里	c=2 d=0.0842176 t=1363
ban tian 	半天	c=2 d=0.346681 t=1363
bao 	包	c=1 d=0.153263 t=1363
bao bao 	宝宝	c=1 d=0.0385808 t=1363
bao ming 	包名	c=2 d=0.258115 t=1363
bei 	被	c=2 d=0.0270694 t=1363
bei jing 	北京	c=2 d=0.260709 t=1363
ben 	本	c=1 d=0.0879841 t=1363
bi ru 	比如	c=2 d=1.31081 t=1363
bian 	遍	c=2 d=0.288128 t=1363
bian le 	变了	c=2 d=0.928346 t=1363
biao ben 	标本	c=2 d=1.39187 t=1363
biao xian 	表现	c=2 d=0.0290322 t=1363
bie 	别	c=2 d=0.0223523 t=1363
bu 	不	c=10 d=2.46087 t=1363
bu cheng gong 	不成功	c=2 d=0.233552 t=1363
bu fa 	不发	c=1 d=0.0160806 t=1363
bu fa shao 	不发烧	c=1 d=0.0146253 t=1363
bu geng xin 	不更新	c=1 d=0.0049667 t=1363
bu hao 	不好	c=2 d=0.285261 t=1363
bu hui 	不会	c=2 d=0.0513366 t=1363
bu li 	不理	c=2 d=0.207142 t=1363
bu qing chu 	不清楚	c=2 d=0.0153852 t=1363
bu rang 	不让	c=2 d=0.0724868 t=1363
bu rong yi 	不容易	c=2 d=0.0789176 t=1363
bu shao 	不少	c=5 d=0.903062 t=1363
bu shi 	不是	c=6 d=1.83244 t=1363
bu shu 	部署	c=4 d=1.98506 t=1363
bu shui jiao 	不睡觉	c=1 d=0.0184997 t=1363
bu ti shi 	不提示	c=1 d=0.955997 t=1363
bu ti xing 	不提醒	c=1 d=0.180866 t=1363
bu tian 	补天	c=1 d=0.0837432 t=1363
bu tong 	不同	c=2 d=0.27545 t=1363
bu xian shi 	不显示	c=2 d=0.134748 t=1363
bu xiang 	不响	c=2 d=1.24067 t=1363
bu xing 	不行	c=2 d=0.291024 t=1363
bu yong 	不用	c=4 d=2.02623 t=1363
bu yong qiang 	不用强	c=1 d=0.00923273 t=1363
bu zheng qi 	不争气	c=2 d=1.96531 t=1363
bu zhi dao 	不知道	c=2 d=1.53826 t=1363
bu zhi wang 	不指望	c=2 d=0.0171741 t=1363
ca ou zuo 	擦偶做	c=1 d=0.551563 t=1363
cai 	猜	c=2 d=0.0169184 t=1363
can kao 	参考	c=2 d=0.949578 t=1363
can shu 	参数	c=2 d=1.29777 t=1363
cao sui 	操碎	c=2 d=0.0898736 t=1363
cao zuo 	操作	c=10 d=5.68031 t=1363
ce bian 	侧边	c=2 d=0.250486 t=1363
cha bu duo 	差不多	c=3 d=0.0880645 t=1363
